timestamp,method,url,route,statusCode,responseTimeMs,ip,forwardedFor,protocol,host,referer,origin,userAgent,acceptLanguage,contentLength,cookiesPresent,isAuthenticated,userId,userRole,queryCount,paramsCount,bodyKeysCount
"2026-01-09T13:25:53.128Z","POST","/public/login-with-password","/login-with-password","200","29.03","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","76","false","false","","","0","0","2"
"2026-01-09T13:25:53.291Z","POST","/public/login-with-password","/login-with-password","200","30.44","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","76","false","false","","","0","0","2"
"2026-01-09T13:26:53.443Z","OPTIONS","/public/login-with-password","","204","10.05","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","0","false","false","","","0","0","0"
"2026-01-09T13:26:53.804Z","POST","/public/login-with-password","/login-with-password","200","319.45","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","88","false","false","","","0","0","2"
"2026-01-09T13:28:20.246Z","OPTIONS","/public/login-with-password","","204","11.34","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","0","false","false","","","0","0","0"
"2026-01-09T13:28:20.600Z","POST","/public/login-with-password","/login-with-password","200","307.57","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","102","false","false","","","0","0","2"
"2026-01-09T13:28:22.358Z","POST","/public/login-with-password","/login-with-password","200","279.57","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","102","false","false","","","0","0","2"
"2026-01-09T13:28:37.600Z","OPTIONS","/public/register-with-google","","204","0.71","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","0","false","false","","","0","0","0"
"2026-01-09T13:28:37.668Z","POST","/public/register-with-google","/register-with-google","200","63.66","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","47","false","false","","","0","0","3"
"2026-01-09T13:28:52.320Z","OPTIONS","/public/register-with-google","","204","1.14","::1","","http","localhost:4000","http://localhost:5173/","http://localhost:5173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","en-US,en;q=0.9","0","false","false","","","0","0","0"
